rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
215,frame_0228.jpg,91.2,0.2118,0.3218,0.1429,0.04,5,1,False,False
216,frame_0204.jpg,81.6,0.2095,0.1469,0.0,0.68,3,0,False,False
217,frame_0205.jpg,82.0,0.2082,0.1285,0.0,0.72,2,0,False,False
218,frame_0196.jpg,78.4,0.2079,0.2718,0.0,0.36,1,0,False,False
219,frame_0181.jpg,72.4,0.2063,0.3965,0.0,0.04,4,0,False,False
220,frame_0233.jpg,93.2,0.2061,0.2304,0.1429,0.24,5,1,False,False
221,frame_0324.jpg,129.6,0.203,0.2882,0.1429,0.08,6,1,False,False
222,frame_0092.jpg,36.8,0.2026,0.2074,0.1429,0.28,4,1,False,False
223,frame_0197.jpg,78.8,0.2007,0.2414,0.0,0.4,1,0,False,False
224,frame_0211.jpg,84.4,0.199,0.142,0.0,0.64,2,0,False,False
225,frame_0217.jpg,86.8,0.1978,0.2355,0.0,0.4,2,0,False,False
226,frame_0272.jpg,108.8,0.1975,0.2773,0.1429,0.08,4,1,False,False
227,frame_0189.jpg,75.6,0.1953,0.2729,0.1429,0.08,3,1,False,False
228,frame_0200.jpg,80.0,0.1944,0.1807,0.0,0.52,2,0,False,False
229,frame_0310.jpg,124.0,0.1905,0.2632,0.1429,0.08,3,1,False,False
230,frame_0322.jpg,128.8,0.1903,0.2308,0.1429,0.16,5,1,False,False
231,frame_0190.jpg,76.0,0.1885,0.2433,0.1429,0.12,3,1,False,False
232,frame_0382.jpg,152.8,0.1849,0.2521,0.1429,0.08,7,1,False,False
233,frame_0381.jpg,152.4,0.1777,0.2537,0.1429,0.04,6,1,False,False
234,frame_0171.jpg,68.4,0.1739,0.1718,0.0,0.44,3,0,False,False
235,frame_0201.jpg,80.4,0.1739,0.1238,0.0,0.56,1,0,False,False
236,frame_0088.jpg,35.2,0.1734,0.1709,0.0,0.44,5,0,False,False
237,frame_0215.jpg,86.0,0.1729,0.1539,0.0,0.48,5,0,False,False
238,frame_0199.jpg,79.6,0.1711,0.1503,0.0,0.48,2,0,False,False
239,frame_0309.jpg,123.6,0.1709,0.2081,0.1429,0.12,7,1,False,False
240,frame_0323.jpg,129.2,0.1685,0.2033,0.1429,0.12,6,1,False,False
241,frame_0103.jpg,41.2,0.1652,0.1807,0.1429,0.16,6,1,False,False
242,frame_0311.jpg,124.4,0.1649,0.228,0.1429,0.04,4,1,False,False
243,frame_0370.jpg,148.0,0.1624,0.2231,0.1429,0.04,8,1,False,False
244,frame_0101.jpg,40.4,0.1574,0.197,0.1429,0.08,5,1,False,False
245,frame_0100.jpg,40.0,0.1565,0.2112,0.1429,0.04,6,1,False,False
246,frame_0313.jpg,125.2,0.1565,0.2112,0.1429,0.04,4,1,False,False
247,frame_0319.jpg,127.6,0.1492,0.1865,0.0,0.28,5,0,False,False
248,frame_0195.jpg,78.0,0.1475,0.167,0.0,0.32,3,0,False,False
249,frame_0194.jpg,77.6,0.1458,0.1796,0.0,0.28,1,0,False,False
250,frame_0389.jpg,155.6,0.1251,0.2022,0.0,0.12,5,0,False,False
251,frame_0191.jpg,76.4,0.1234,0.1828,0.0,0.16,4,0,False,False
252,frame_0180.jpg,72.0,0.1186,0.2052,0.0,0.08,5,0,False,False
253,frame_0222.jpg,88.8,0.1167,0.1534,0.0,0.2,5,0,False,False
254,frame_0371.jpg,148.4,0.1089,0.1858,0.0,0.08,4,0,False,False
255,frame_0108.jpg,43.2,0.0968,0.1776,0.0,0.04,6,0,False,False
256,frame_0188.jpg,75.2,0.0932,0.1704,0.0,0.04,5,0,False,False
